ឈ្មោះ,ថ្ងៃ ខែ ឆ្នាំ,សំណល់ចាស់,ចំណូលថ្មី,សរុប,ចំណាយ,សល់,
Report,,,,,,,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
,,0,,0,,0,
